"","col1","col2","col3","col4","r"
"1",0,0,0,0,0.944182222600329
"2",0,0,0,0.333333333333333,0.929709898607135
"3",0,0,0,0.666666666666667,0.954541915615161
"4",0,0,0,1,0.963233504459999
"5",0,0,0.333333333333333,0,0.858652505433472
"6",0,0,0.333333333333333,0.333333333333333,0.861765023426171
"7",0,0,0.333333333333333,0.666666666666667,0.948194329541506
"8",0,0,0.333333333333333,1,0.968378348349905
"9",0,0,0.666666666666667,0,0.867444930951058
"10",0,0,0.666666666666667,0.333333333333333,0.915244766079968
"11",0,0,0.666666666666667,0.666666666666667,0.962990198102829
"12",0,0,0.666666666666667,1,0.969963318884128
"13",0,0,1,0,0.947803646709251
"14",0,0,1,0.333333333333333,0.9624340764017
"15",0,0,1,0.666666666666667,0.968263662020185
"16",0,0,1,1,0.974843006172882
"17",0,0.333333333333333,0,0,0.953040833032261
"18",0,0.333333333333333,0,0.333333333333333,0.951426235919259
"19",0,0.333333333333333,0,0.666666666666667,0.922901711472316
"20",0,0.333333333333333,0,1,0.919880030960999
"21",0,0.333333333333333,0.333333333333333,0,0.842337940282649
"22",0,0.333333333333333,0.333333333333333,0.333333333333333,0.928732376160123
"23",0,0.333333333333333,0.333333333333333,0.666666666666667,0.93319462423137
"24",0,0.333333333333333,0.333333333333333,1,0.943161040516509
"25",0,0.333333333333333,0.666666666666667,0,0.911265867598827
"26",0,0.333333333333333,0.666666666666667,0.333333333333333,0.929243475125667
"27",0,0.333333333333333,0.666666666666667,0.666666666666667,0.933369542945793
"28",0,0.333333333333333,0.666666666666667,1,0.952054077070366
"29",0,0.333333333333333,1,0,0.951090932569001
"30",0,0.333333333333333,1,0.333333333333333,0.94980784765267
"31",0,0.333333333333333,1,0.666666666666667,0.927177290230406
"32",0,0.333333333333333,1,1,0.827593653015696
"33",0,0.666666666666667,0,0,0.959494426296722
"34",0,0.666666666666667,0,0.333333333333333,0.91838575103659
"35",0,0.666666666666667,0,0.666666666666667,0.703911580307087
"36",0,0.666666666666667,0,1,0.815287037633037
"37",0,0.666666666666667,0.333333333333333,0,0.924517638185845
"38",0,0.666666666666667,0.333333333333333,0.333333333333333,0.899042828404601
"39",0,0.666666666666667,0.333333333333333,0.666666666666667,0.848188718829425
"40",0,0.666666666666667,0.333333333333333,1,0.878279455215474
"41",0,0.666666666666667,0.666666666666667,0,0.923043761847184
"42",0,0.666666666666667,0.666666666666667,0.333333333333333,0.888592215657061
"43",0,0.666666666666667,0.666666666666667,0.666666666666667,0.872556098359079
"44",0,0.666666666666667,0.666666666666667,1,0.928805825858602
"45",0,0.666666666666667,1,0,0.957669053123492
"46",0,0.666666666666667,1,0.333333333333333,0.936868173083886
"47",0,0.666666666666667,1,0.666666666666667,0.893825564963973
"48",0,0.666666666666667,1,1,0.923957590169159
"49",0,1,0,0,0.963149467445757
"50",0,1,0,0.333333333333333,0.902664067532942
"51",0,1,0,0.666666666666667,0.601579938199296
"52",0,1,0,1,0.813375724044119
"53",0,1,0.333333333333333,0,0.94769712618832
"54",0,1,0.333333333333333,0.333333333333333,0.912476927507053
"55",0,1,0.333333333333333,0.666666666666667,0.799077393013824
"56",0,1,0.333333333333333,1,0.862079366049407
"57",0,1,0.666666666666667,0,0.943093294011327
"58",0,1,0.666666666666667,0.333333333333333,0.892691057061999
"59",0,1,0.666666666666667,0.666666666666667,0.874090414903875
"60",0,1,0.666666666666667,1,0.92806457354343
"61",0,1,1,0,0.956701388933608
"62",0,1,1,0.333333333333333,0.933527387143371
"63",0,1,1,0.666666666666667,0.92559333805868
"64",0,1,1,1,0.946280094902249
"65",0.333333333333333,0,0,0,0.948049380833695
"66",0.333333333333333,0,0,0.333333333333333,0.932865881004504
"67",0.333333333333333,0,0,0.666666666666667,0.954465767518534
"68",0.333333333333333,0,0,1,0.962903831953348
"69",0.333333333333333,0,0.333333333333333,0,0.820145225510256
"70",0.333333333333333,0,0.333333333333333,0.333333333333333,0.80484244399664
"71",0.333333333333333,0,0.333333333333333,0.666666666666667,0.939000152123997
"72",0.333333333333333,0,0.333333333333333,1,0.962802071234302
"73",0.333333333333333,0,0.666666666666667,0,0.694010161344683
"74",0.333333333333333,0,0.666666666666667,0.333333333333333,0.859386656562662
"75",0.333333333333333,0,0.666666666666667,0.666666666666667,0.949048015378992
"76",0.333333333333333,0,0.666666666666667,1,0.966508937489287
"77",0.333333333333333,0,1,0,0.922949965616272
"78",0.333333333333333,0,1,0.333333333333333,0.950162356506854
"79",0.333333333333333,0,1,0.666666666666667,0.959751205921629
"80",0.333333333333333,0,1,1,0.969079835395984
"81",0.333333333333333,0.333333333333333,0,0,0.943541294822147
"82",0.333333333333333,0.333333333333333,0,0.333333333333333,0.93948040390223
"83",0.333333333333333,0.333333333333333,0,0.666666666666667,0.910827572701632
"84",0.333333333333333,0.333333333333333,0,1,0.913418954162906
"85",0.333333333333333,0.333333333333333,0.333333333333333,0,0.669319679469813
"86",0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.582489676768515
"87",0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.898497883415523
"88",0.333333333333333,0.333333333333333,0.333333333333333,1,0.926631615504749
"89",0.333333333333333,0.333333333333333,0.666666666666667,0,0.811375523165503
"90",0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.860549575339797
"91",0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.885941461821983
"92",0.333333333333333,0.333333333333333,0.666666666666667,1,0.918545074206942
"93",0.333333333333333,0.333333333333333,1,0,0.931960643683701
"94",0.333333333333333,0.333333333333333,1,0.333333333333333,0.948891794605662
"95",0.333333333333333,0.333333333333333,1,0.666666666666667,0.875063674916749
"96",0.333333333333333,0.333333333333333,1,1,0.843116218813667
"97",0.333333333333333,0.666666666666667,0,0,0.932022909089499
"98",0.333333333333333,0.666666666666667,0,0.333333333333333,0.914179456540577
"99",0.333333333333333,0.666666666666667,0,0.666666666666667,0.728534145489002
"100",0.333333333333333,0.666666666666667,0,1,0.714077071642757
"101",0.333333333333333,0.666666666666667,0.333333333333333,0,0.87171214278644
"102",0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.861655399125126
"103",0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0.772343846684816
"104",0.333333333333333,0.666666666666667,0.333333333333333,1,0.81780481073567
"105",0.333333333333333,0.666666666666667,0.666666666666667,0,0.928321824920048
"106",0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.836396988977774
"107",0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.738421190357912
"108",0.333333333333333,0.666666666666667,0.666666666666667,1,0.878013184500535
"109",0.333333333333333,0.666666666666667,1,0,0.954486935603511
"110",0.333333333333333,0.666666666666667,1,0.333333333333333,0.924415203581841
"111",0.333333333333333,0.666666666666667,1,0.666666666666667,0.899044601464446
"112",0.333333333333333,0.666666666666667,1,1,0.853625808434432
"113",0.333333333333333,1,0,0,0.959316974668873
"114",0.333333333333333,1,0,0.333333333333333,0.925948125701938
"115",0.333333333333333,1,0,0.666666666666667,0.851423200111436
"116",0.333333333333333,1,0,1,0.873478460257878
"117",0.333333333333333,1,0.333333333333333,0,0.940954531291308
"118",0.333333333333333,1,0.333333333333333,0.333333333333333,0.876332475399345
"119",0.333333333333333,1,0.333333333333333,0.666666666666667,0.836719489730007
"120",0.333333333333333,1,0.333333333333333,1,0.878402221035907
"121",0.333333333333333,1,0.666666666666667,0,0.929070239861874
"122",0.333333333333333,1,0.666666666666667,0.333333333333333,0.823800952386835
"123",0.333333333333333,1,0.666666666666667,0.666666666666667,0.667415160502383
"124",0.333333333333333,1,0.666666666666667,1,0.887000296220056
